email,display_name,name_local,role,role_label,site,region,timezone,status,status_reason,tenant_admin
elizabeth.moore@decathlon-demo.com,Elizabeth Moore,Elizabeth Moore,assistant_manager,Assistant Store Manager,dec-us-sf,US,America/Los_Angeles,active,,false
nancy.wilson@decathlon-demo.com,Nancy Wilson,Nancy Wilson,department_leader,Department Leader — Running & Footwear,dec-us-sf,US,America/Los_Angeles,active,,false
mark.allen2@decathlon-demo.com,Mark Allen,Mark Allen,department_leader,Department Leader — Apparel,dec-us-sf,US,America/Los_Angeles,active,,false
jennifer.garcia@decathlon-demo.com,Jennifer Garcia,Jennifer Garcia,department_leader,Department Leader — Fitness,dec-us-sf,US,America/Los_Angeles,active,,false
sarah.williams@decathlon-demo.com,Sarah Williams,Sarah Williams,department_leader,Department Leader — Outdoor,dec-us-sf,US,America/Los_Angeles,active,,false
john.taylor@decathlon-demo.com,John Taylor,John Taylor,department_leader,Department Leader — Cycle & Swim,dec-us-sf,US,America/Los_Angeles,active,,false
kimberly.ramirez@decathlon-demo.com,Kimberly Ramirez,Kimberly Ramirez,sales_associate,Sales Associate,dec-us-sf,US,America/Los_Angeles,inactive,account_locked,false
michael.martinez@decathlon-demo.com,Michael Martinez,Michael Martinez,sales_associate,Sales Associate,dec-us-sf,US,America/Los_Angeles,active,,false
lisa.nguyen@decathlon-demo.com,Lisa Nguyen,Lisa Nguyen,sales_associate,Sales Associate,dec-us-sf,US,America/Los_Angeles,active,,false
john.williams@decathlon-demo.com,John Williams,John Williams,sales_associate,Sales Associate,dec-us-sf,US,America/Los_Angeles,active,,false
robert.thompson@decathlon-demo.com,Robert Thompson,Robert Thompson,sales_associate,Sales Associate,dec-us-sf,US,America/Los_Angeles,active,,false
david.thompson@decathlon-demo.com,David Thompson,David Thompson,sales_associate,Sales Associate,dec-us-sf,US,America/Los_Angeles,active,,false
elizabeth.thomas@decathlon-demo.com,Elizabeth Thomas,Elizabeth Thomas,sales_associate,Sales Associate,dec-us-sf,US,America/Los_Angeles,active,,false
mary.lopez@decathlon-demo.com,Mary Lopez,Mary Lopez,sales_associate,Sales Associate,dec-us-sf,US,America/Los_Angeles,active,,false
jessica.moore2@decathlon-demo.com,Jessica Moore,Jessica Moore,sales_associate,Sales Associate,dec-us-sf,US,America/Los_Angeles,active,,false
kevin.williams@decathlon-demo.com,Kevin Williams,Kevin Williams,sales_associate,Sales Associate,dec-us-sf,US,America/Los_Angeles,active,,false
sandra.thompson@decathlon-demo.com,Sandra Thompson,Sandra Thompson,sales_associate,Sales Associate,dec-us-sf,US,America/Los_Angeles,active,,false
mary.gonzalez@decathlon-demo.com,Mary Gonzalez,Mary Gonzalez,sales_associate,Sales Associate,dec-us-sf,US,America/Los_Angeles,active,,false
michael.moore@decathlon-demo.com,Michael Moore,Michael Moore,cashier,Cashier,dec-us-sf,US,America/Los_Angeles,active,,false
margaret.wright@decathlon-demo.com,Margaret Wright,Margaret Wright,cashier,Cashier,dec-us-sf,US,America/Los_Angeles,active,,false
mark.lopez@decathlon-demo.com,Mark Lopez,Mark Lopez,cashier,Cashier,dec-us-sf,US,America/Los_Angeles,active,,false
david.hill@decathlon-demo.com,David Hill,David Hill,cashier,Cashier,dec-us-sf,US,America/Los_Angeles,active,,false
andrew.ramirez@decathlon-demo.com,Andrew Ramirez,Andrew Ramirez,stock_logistics,Stock & Logistics,dec-us-sf,US,America/Los_Angeles,active,,false
kevin.torres@decathlon-demo.com,Kevin Torres,Kevin Torres,stock_logistics,Stock & Logistics,dec-us-sf,US,America/Los_Angeles,active,,false
betty.smith@decathlon-demo.com,Betty Smith,Betty Smith,stock_logistics,Stock & Logistics,dec-us-sf,US,America/Los_Angeles,active,,false
matthew.white@decathlon-demo.com,Matthew White,Matthew White,stock_logistics,Stock & Logistics,dec-us-sf,US,America/Los_Angeles,active,,false
nancy.flores@decathlon-demo.com,Nancy Flores,Nancy Flores,store_lp,Store Loss-Prevention,dec-us-sf,US,America/Los_Angeles,active,,false
manon.fournier@decathlon-demo.com,Manon Fournier,Manon Fournier,store_manager,Store Manager,dec-fr-paris,FR,Europe/Paris,active,,false
quentin.morel@decathlon-demo.com,Quentin Morel,Quentin Morel,assistant_manager,Assistant Store Manager,dec-fr-paris,FR,Europe/Paris,active,,false
margaux.leroy@decathlon-demo.com,Margaux Leroy,Margaux Leroy,assistant_manager,Assistant Store Manager,dec-fr-paris,FR,Europe/Paris,active,,false
paul.laurent@decathlon-demo.com,Paul Laurent,Paul Laurent,department_leader,Department Leader — Running & Footwear,dec-fr-paris,FR,Europe/Paris,active,,false
marie.muller@decathlon-demo.com,Marie Muller,Marie Muller,department_leader,Department Leader — Apparel,dec-fr-paris,FR,Europe/Paris,active,,false
ines.francois@decathlon-demo.com,Inès François,Inès François,department_leader,Department Leader — Fitness,dec-fr-paris,FR,Europe/Paris,active,,false
maxime.legrand@decathlon-demo.com,Maxime Legrand,Maxime Legrand,department_leader,Department Leader — Outdoor,dec-fr-paris,FR,Europe/Paris,active,,false
ines.rousseau@decathlon-demo.com,Inès Rousseau,Inès Rousseau,department_leader,Department Leader — Cycle & Swim,dec-fr-paris,FR,Europe/Paris,active,,false
chloe.vincent@decathlon-demo.com,Chloé Vincent,Chloé Vincent,sales_associate,Sales Associate,dec-fr-paris,FR,Europe/Paris,active,,false
celine.girard@decathlon-demo.com,Céline Girard,Céline Girard,sales_associate,Sales Associate,dec-fr-paris,FR,Europe/Paris,active,,false
jade.garcia@decathlon-demo.com,Jade Garcia,Jade Garcia,sales_associate,Sales Associate,dec-fr-paris,FR,Europe/Paris,active,,false
hugo.david@decathlon-demo.com,Hugo David,Hugo David,sales_associate,Sales Associate,dec-fr-paris,FR,Europe/Paris,active,,false
louis.legrand@decathlon-demo.com,Louis Legrand,Louis Legrand,sales_associate,Sales Associate,dec-fr-paris,FR,Europe/Paris,active,,false
raphael.dupont@decathlon-demo.com,Raphaël Dupont,Raphaël Dupont,sales_associate,Sales Associate,dec-fr-paris,FR,Europe/Paris,active,,false
camille.martin@decathlon-demo.com,Camille Martin,Camille Martin,sales_associate,Sales Associate,dec-fr-paris,FR,Europe/Paris,active,,false
sarah.blanc@decathlon-demo.com,Sarah Blanc,Sarah Blanc,sales_associate,Sales Associate,dec-fr-paris,FR,Europe/Paris,active,,false
julie.durand@decathlon-demo.com,Julie Durand,Julie Durand,sales_associate,Sales Associate,dec-fr-paris,FR,Europe/Paris,active,,false
clara.blanc@decathlon-demo.com,Clara Blanc,Clara Blanc,sales_associate,Sales Associate,dec-fr-paris,FR,Europe/Paris,active,,false
romain.perrin@decathlon-demo.com,Romain Perrin,Romain Perrin,sales_associate,Sales Associate,dec-fr-paris,FR,Europe/Paris,inactive,terminated,false
margaux.martinez@decathlon-demo.com,Margaux Martinez,Margaux Martinez,sales_associate,Sales Associate,dec-fr-paris,FR,Europe/Paris,active,,false
thomas.martinez@decathlon-demo.com,Thomas Martinez,Thomas Martinez,cashier,Cashier,dec-fr-paris,FR,Europe/Paris,active,,false
lola.blanc@decathlon-demo.com,Lola Blanc,Lola Blanc,cashier,Cashier,dec-fr-paris,FR,Europe/Paris,active,,false
lola.martinez@decathlon-demo.com,Lola Martinez,Lola Martinez,cashier,Cashier,dec-fr-paris,FR,Europe/Paris,inactive,account_locked,false
julie.roux@decathlon-demo.com,Julie Roux,Julie Roux,cashier,Cashier,dec-fr-paris,FR,Europe/Paris,inactive,deactivated,false
chloe.leroy@decathlon-demo.com,Chloé Leroy,Chloé Leroy,stock_logistics,Stock & Logistics,dec-fr-paris,FR,Europe/Paris,active,,false
camille.michel@decathlon-demo.com,Camille Michel,Camille Michel,stock_logistics,Stock & Logistics,dec-fr-paris,FR,Europe/Paris,active,,false
alice.guerin@decathlon-demo.com,Alice Guérin,Alice Guérin,stock_logistics,Stock & Logistics,dec-fr-paris,FR,Europe/Paris,active,,false
ines.bonnet@decathlon-demo.com,Inès Bonnet,Inès Bonnet,stock_logistics,Stock & Logistics,dec-fr-paris,FR,Europe/Paris,active,,false
emma.henry@decathlon-demo.com,Emma Henry,Emma Henry,store_lp,Store Loss-Prevention,dec-fr-paris,FR,Europe/Paris,active,,false
antoine.fournier@decathlon-demo.com,Antoine Fournier,Antoine Fournier,store_manager,Store Manager,dec-fr-lyon,FR,Europe/Paris,active,,false
baptiste.nicolas@decathlon-demo.com,Baptiste Nicolas,Baptiste Nicolas,assistant_manager,Assistant Store Manager,dec-fr-lyon,FR,Europe/Paris,active,,false
lola.francois@decathlon-demo.com,Lola François,Lola François,department_leader,Department Leader — Running & Footwear,dec-fr-lyon,FR,Europe/Paris,active,,false
alice.lambert@decathlon-demo.com,Alice Lambert,Alice Lambert,department_leader,Department Leader — Apparel,dec-fr-lyon,FR,Europe/Paris,active,,false
celine.guerin@decathlon-demo.com,Céline Guérin,Céline Guérin,department_leader,Department Leader — Fitness,dec-fr-lyon,FR,Europe/Paris,active,,false
clement.bernard@decathlon-demo.com,Clément Bernard,Clément Bernard,department_leader,Department Leader — Outdoor,dec-fr-lyon,FR,Europe/Paris,inactive,deactivated,false
jules.legrand@decathlon-demo.com,Jules Legrand,Jules Legrand,sales_associate,Sales Associate,dec-fr-lyon,FR,Europe/Paris,active,,false
paul.morel@decathlon-demo.com,Paul Morel,Paul Morel,sales_associate,Sales Associate,dec-fr-lyon,FR,Europe/Paris,active,,false
alice.dupont@decathlon-demo.com,Alice Dupont,Alice Dupont,sales_associate,Sales Associate,dec-fr-lyon,FR,Europe/Paris,active,,false
chloe.garnier@decathlon-demo.com,Chloé Garnier,Chloé Garnier,sales_associate,Sales Associate,dec-fr-lyon,FR,Europe/Paris,inactive,account_locked,false
lea.andre@decathlon-demo.com,Léa André,Léa André,sales_associate,Sales Associate,dec-fr-lyon,FR,Europe/Paris,active,,false
hugo.bernard@decathlon-demo.com,Hugo Bernard,Hugo Bernard,sales_associate,Sales Associate,dec-fr-lyon,FR,Europe/Paris,active,,false
emma.perrin@decathlon-demo.com,Emma Perrin,Emma Perrin,sales_associate,Sales Associate,dec-fr-lyon,FR,Europe/Paris,inactive,on_long_leave,false
thomas.durand@decathlon-demo.com,Thomas Durand,Thomas Durand,sales_associate,Sales Associate,dec-fr-lyon,FR,Europe/Paris,active,,false
leo.mercier@decathlon-demo.com,Léo Mercier,Léo Mercier,sales_associate,Sales Associate,dec-fr-lyon,FR,Europe/Paris,active,,false
manon.simon@decathlon-demo.com,Manon Simon,Manon Simon,cashier,Cashier,dec-fr-lyon,FR,Europe/Paris,active,,false
emma.fournier@decathlon-demo.com,Emma Fournier,Emma Fournier,cashier,Cashier,dec-fr-lyon,FR,Europe/Paris,inactive,terminated,false
marie.lefebvre@decathlon-demo.com,Marie Lefebvre,Marie Lefebvre,cashier,Cashier,dec-fr-lyon,FR,Europe/Paris,inactive,account_locked,false
julie.petit@decathlon-demo.com,Julie Petit,Julie Petit,stock_logistics,Stock & Logistics,dec-fr-lyon,FR,Europe/Paris,active,,false
manon.henry@decathlon-demo.com,Manon Henry,Manon Henry,stock_logistics,Stock & Logistics,dec-fr-lyon,FR,Europe/Paris,active,,false
anais.mercier@decathlon-demo.com,Anaïs Mercier,Anaïs Mercier,stock_logistics,Stock & Logistics,dec-fr-lyon,FR,Europe/Paris,active,,false
alice.martin@decathlon-demo.com,Alice Martin,Alice Martin,store_lp,Store Loss-Prevention,dec-fr-lyon,FR,Europe/Paris,active,,false
anais.mercier2@decathlon-demo.com,Anaïs Mercier,Anaïs Mercier,store_manager,Store Manager,dec-fr-lille,FR,Europe/Paris,active,,false
camille.francois@decathlon-demo.com,Camille François,Camille François,assistant_manager,Assistant Store Manager,dec-fr-lille,FR,Europe/Paris,inactive,deactivated,false
lola.perrin@decathlon-demo.com,Lola Perrin,Lola Perrin,department_leader,Department Leader — Running & Footwear,dec-fr-lille,FR,Europe/Paris,active,,false
anais.roussel@decathlon-demo.com,Anaïs Roussel,Anaïs Roussel,department_leader,Department Leader — Apparel,dec-fr-lille,FR,Europe/Paris,active,,false
julie.richard@decathlon-demo.com,Julie Richard,Julie Richard,department_leader,Department Leader — Fitness,dec-fr-lille,FR,Europe/Paris,active,,false
clara.henry@decathlon-demo.com,Clara Henry,Clara Henry,department_leader,Department Leader — Outdoor,dec-fr-lille,FR,Europe/Paris,active,,false
alice.bernard@decathlon-demo.com,Alice Bernard,Alice Bernard,sales_associate,Sales Associate,dec-fr-lille,FR,Europe/Paris,active,,false
elise.michel@decathlon-demo.com,Élise Michel,Élise Michel,sales_associate,Sales Associate,dec-fr-lille,FR,Europe/Paris,active,,false
lola.nicolas@decathlon-demo.com,Lola Nicolas,Lola Nicolas,sales_associate,Sales Associate,dec-fr-lille,FR,Europe/Paris,active,,false
pauline.lefebvre@decathlon-demo.com,Pauline Lefebvre,Pauline Lefebvre,sales_associate,Sales Associate,dec-fr-lille,FR,Europe/Paris,active,,false
quentin.faure@decathlon-demo.com,Quentin Faure,Quentin Faure,sales_associate,Sales Associate,dec-fr-lille,FR,Europe/Paris,active,,false
thomas.faure@decathlon-demo.com,Thomas Faure,Thomas Faure,sales_associate,Sales Associate,dec-fr-lille,FR,Europe/Paris,active,,false
theo.garcia@decathlon-demo.com,Théo Garcia,Théo Garcia,sales_associate,Sales Associate,dec-fr-lille,FR,Europe/Paris,active,,false
jade.roussel@decathlon-demo.com,Jade Roussel,Jade Roussel,sales_associate,Sales Associate,dec-fr-lille,FR,Europe/Paris,inactive,account_locked,false
pauline.andre@decathlon-demo.com,Pauline André,Pauline André,sales_associate,Sales Associate,dec-fr-lille,FR,Europe/Paris,active,,false
alice.andre@decathlon-demo.com,Alice André,Alice André,cashier,Cashier,dec-fr-lille,FR,Europe/Paris,inactive,account_locked,false
leo.garcia@decathlon-demo.com,Léo Garcia,Léo Garcia,cashier,Cashier,dec-fr-lille,FR,Europe/Paris,active,,false
maxime.durand@decathlon-demo.com,Maxime Durand,Maxime Durand,cashier,Cashier,dec-fr-lille,FR,Europe/Paris,active,,false
raphael.michel@decathlon-demo.com,Raphaël Michel,Raphaël Michel,stock_logistics,Stock & Logistics,dec-fr-lille,FR,Europe/Paris,active,,false
juliette.blanc@decathlon-demo.com,Juliette Blanc,Juliette Blanc,stock_logistics,Stock & Logistics,dec-fr-lille,FR,Europe/Paris,active,,false
raphael.vincent@decathlon-demo.com,Raphaël Vincent,Raphaël Vincent,stock_logistics,Stock & Logistics,dec-fr-lille,FR,Europe/Paris,active,,false
jade.martin@decathlon-demo.com,Jade Martin,Jade Martin,store_lp,Store Loss-Prevention,dec-fr-lille,FR,Europe/Paris,active,,false
hugo.thomas@decathlon-demo.com,Hugo Thomas,Hugo Thomas,store_manager,Store Manager,dec-fr-marseille,FR,Europe/Paris,active,,false
jules.faure@decathlon-demo.com,Jules Faure,Jules Faure,assistant_manager,Assistant Store Manager,dec-fr-marseille,FR,Europe/Paris,active,,false
theo.garnier@decathlon-demo.com,Théo Garnier,Théo Garnier,department_leader,Department Leader — Running & Footwear,dec-fr-marseille,FR,Europe/Paris,active,,false
sarah.thomas@decathlon-demo.com,Sarah Thomas,Sarah Thomas,department_leader,Department Leader — Apparel,dec-fr-marseille,FR,Europe/Paris,active,,false
louis.lambert@decathlon-demo.com,Louis Lambert,Louis Lambert,department_leader,Department Leader — Fitness,dec-fr-marseille,FR,Europe/Paris,active,,false
lea.moreau@decathlon-demo.com,Léa Moreau,Léa Moreau,sales_associate,Sales Associate,dec-fr-marseille,FR,Europe/Paris,inactive,deactivated,false
chloe.david@decathlon-demo.com,Chloé David,Chloé David,sales_associate,Sales Associate,dec-fr-marseille,FR,Europe/Paris,active,,false
quentin.nicolas@decathlon-demo.com,Quentin Nicolas,Quentin Nicolas,sales_associate,Sales Associate,dec-fr-marseille,FR,Europe/Paris,active,,false
pauline.dupont@decathlon-demo.com,Pauline Dupont,Pauline Dupont,sales_associate,Sales Associate,dec-fr-marseille,FR,Europe/Paris,active,,false
juliette.francois@decathlon-demo.com,Juliette François,Juliette François,sales_associate,Sales Associate,dec-fr-marseille,FR,Europe/Paris,active,,false
lea.perrin@decathlon-demo.com,Léa Perrin,Léa Perrin,sales_associate,Sales Associate,dec-fr-marseille,FR,Europe/Paris,active,,false
ines.bertrand@decathlon-demo.com,Inès Bertrand,Inès Bertrand,cashier,Cashier,dec-fr-marseille,FR,Europe/Paris,active,,false
